order_id,category,price,discount_pct,payment_method,device,past_orders,past_return_rate,days_to_deliver,is_gift_wrapped,size_variants_in_order,review_score_of_product,returned
ORD100000,Beauty,1005.06,22.5,Card,Mobile,3,0.179,2,0,1,3.7,0
ORD100001,Footwear,198.65,8.4,Wallet,Mobile,3,0.042,2,0,1,3.6,0
ORD100002,Books,4788.1,10.0,COD,Mobile,4,0.158,2,0,2,4.5,0
ORD100003,Home,181.07,24.6,COD,Mobile,7,0.113,5,0,1,4.9,0
ORD100004,Apparel,1225.21,28.1,UPI,Tablet,6,0.043,3,0,2,3.3,0
ORD100005,Toys,1553.71,19.3,UPI,Desktop,2,0.231,2,0,1,4.1,0
ORD100006,Beauty,147.55,26.8,UPI,Mobile,2,0.047,4,0,1,4.6,0
ORD100007,Beauty,328.75,64.4,UPI,Mobile,2,0.102,6,1,2,3.7,0
ORD100008,Apparel,400.64,33.6,Card,Mobile,3,0.0,5,0,1,4.0,0
ORD100009,Electronics,11320.18,9.8,COD,Mobile,7,0.091,7,0,1,4.7,0
ORD100010,Footwear,395.12,9.8,UPI,Mobile,7,0.172,6,0,2,4.0,0
ORD100011,Books,176.91,25.5,NetBanking,Mobile,3,0.022,2,0,3,4.1,0
ORD100012,Home,767.06,33.6,UPI,Desktop,3,0.031,3,0,2,4.7,0
ORD100013,Beauty,191.95,18.0,UPI,Mobile,3,0.0,1,0,1,3.6,0
ORD100014,Footwear,466.2,39.3,COD,Desktop,5,0.118,5,0,2,4.1,0
ORD100015,Apparel,327.19,33.6,COD,Mobile,4,0.057,3,0,1,4.1,1
ORD100016,Electronics,785.41,63.0,UPI,Mobile,3,0.041,5,0,1,4.5,0
ORD100017,Apparel,297.35,12.4,UPI,Mobile,1,0.139,5,1,2,4.1,0
ORD100018,Beauty,263.35,9.0,Card,Mobile,3,0.391,4,0,1,3.4,0
ORD100019,Home,1301.32,24.8,UPI,Mobile,7,0.152,2,0,3,4.3,0
ORD100020,Beauty,639.16,53.6,NetBanking,Mobile,5,0.042,3,0,1,4.7,0
ORD100021,Footwear,505.43,20.8,NetBanking,Desktop,6,0.118,1,1,3,4.8,0
ORD100022,Toys,99.0,20.0,COD,Mobile,2,0.148,2,0,3,3.5,0
ORD100023,Books,862.34,13.0,COD,Mobile,4,0.07,4,0,1,3.5,0
ORD100024,Beauty,322.6,43.6,NetBanking,Mobile,5,0.054,5,1,1,3.7,0
ORD100025,Apparel,633.06,15.9,COD,Mobile,12,0.064,4,0,2,3.4,1
ORD100026,Electronics,99.0,31.6,COD,Tablet,3,0.006,5,0,2,4.1,0
ORD100027,Apparel,632.38,44.7,COD,Mobile,3,0.093,5,0,3,4.7,0
ORD100028,Apparel,586.28,28.1,Card,Mobile,7,0.294,2,0,1,4.6,0
ORD100029,Home,400.78,16.7,COD,Desktop,11,0.189,3,0,1,3.9,1
ORD100030,Home,221.98,42.3,COD,Mobile,4,0.109,2,0,1,3.7,0
ORD100031,Toys,1407.32,39.7,UPI,Mobile,5,0.14,6,0,3,4.4,0
ORD100032,Footwear,251.67,19.4,Card,Desktop,6,0.082,4,0,2,4.0,0
ORD100033,Footwear,1117.87,5.8,COD,Desktop,7,0.067,3,1,3,4.7,0
ORD100034,Electronics,1264.51,25.6,Card,Desktop,6,0.045,6,0,3,3.7,0
ORD100035,Apparel,232.99,14.1,UPI,Mobile,3,0.315,1,0,1,3.4,1
ORD100036,Apparel,966.08,27.4,UPI,Mobile,1,0.0,4,0,2,3.9,0
ORD100037,Electronics,334.71,22.4,UPI,Mobile,8,0.026,4,0,2,4.5,0
ORD100038,Apparel,875.39,38.4,COD,Mobile,4,0.061,4,0,1,3.5,0
ORD100039,Home,212.23,12.7,COD,Tablet,6,0.193,5,0,2,4.1,1
ORD100040,Footwear,444.26,12.6,NetBanking,Mobile,1,0.114,2,0,2,4.0,0
ORD100041,Beauty,528.14,22.5,COD,Mobile,3,0.116,3,1,1,3.5,0
ORD100042,Home,479.88,19.6,Wallet,Mobile,3,0.028,4,0,2,5.0,0
ORD100043,Footwear,694.42,25.8,COD,Mobile,3,0.015,1,0,2,2.5,0
ORD100044,Beauty,237.96,20.3,UPI,Mobile,3,0.083,6,0,1,4.1,0
ORD100045,Beauty,299.73,44.8,UPI,Mobile,2,0.218,5,0,2,3.4,0
ORD100046,Footwear,936.79,5.2,Card,Desktop,2,0.086,2,0,2,3.8,0
ORD100047,Apparel,339.98,32.4,COD,Mobile,4,0.025,1,0,1,4.0,1
ORD100048,Home,314.96,29.1,COD,Mobile,6,0.172,2,0,1,3.7,0
ORD100049,Apparel,230.99,31.3,UPI,Mobile,5,0.083,8,0,1,5.0,0
ORD100050,Apparel,325.7,22.4,COD,Mobile,1,0.063,2,0,3,4.8,0
ORD100051,Apparel,195.52,30.7,UPI,Mobile,4,0.228,3,0,1,3.7,0
ORD100052,Beauty,949.91,36.0,Card,Mobile,7,0.173,5,0,2,3.8,0
ORD100053,Home,328.93,11.7,COD,Desktop,7,0.048,4,0,3,4.6,0
ORD100054,Home,185.8,31.2,Card,Mobile,4,0.012,7,0,3,5.0,0
ORD100055,Beauty,410.41,19.9,COD,Mobile,1,0.226,4,0,3,3.2,1
ORD100056,Electronics,140.21,31.7,NetBanking,Mobile,5,0.263,1,0,3,3.8,0
ORD100057,Electronics,228.1,40.2,Wallet,Mobile,3,0.0,4,0,1,3.9,0
ORD100058,Apparel,1667.43,30.0,Card,Desktop,6,0.065,3,0,1,4.3,0
ORD100059,Apparel,185.06,27.8,Wallet,Mobile,1,0.138,4,0,3,4.2,1
ORD100060,Home,433.08,22.2,Card,Mobile,3,0.077,5,0,3,4.7,0
ORD100061,Electronics,3589.45,13.9,COD,Tablet,3,0.134,5,0,1,4.4,0
ORD100062,Electronics,616.67,46.8,COD,Mobile,3,0.041,7,1,3,4.6,0
ORD100063,Beauty,311.15,54.9,COD,Mobile,4,0.16,6,0,3,3.5,0
ORD100064,Home,99.0,7.1,UPI,Desktop,4,0.148,6,0,2,2.6,0
ORD100065,Electronics,572.62,10.0,UPI,Mobile,4,0.213,6,0,3,3.6,0
ORD100066,Electronics,246.92,33.3,UPI,Mobile,5,0.087,4,0,1,3.6,0
ORD100067,Footwear,814.05,13.3,Card,Mobile,2,0.123,4,0,2,4.4,0
